Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2281,745,"2,055.58",10,30.83,7,30.79,8,29.425,5,26.27,11,54.445,5,20.39,14,75.08,13,53.29,6,27.74,8,37.89,8,67.685,11,67.36,10,34.09,12,55.005,11,61.85,12,69.21,15,76.73,13,75.52,5,28.89,929,"2,978.07"
2282,930,"2,721.47",7,21.24,7,26.07,6,30.25,5,20.48,7,27.24,19,85.605,9,146.49,13,51.879,14,65.485,4,44.525,10,44.598,17,83.471,9,69.19,20,110.34,12,87.86,12,70.62,7,59.03,4,23.95,9,50.345,1121,"3,840.14"
2283,1524,"4,285.97",15,42.295,27,95.13,11,51.89,10,43.62,25,120.45,19,82.58,19,97.905,21,103.445,24,117.875,18,76.545,23,131.965,22,111.595,20,96.07,34,189.49,36,207.99,22,144.965,24,144.68,8,50.715,13,84.1,1915,"6,279.27"
2284,661,"1,974.65",7,27.7,9,34.24,9,46.8,7,33.73,5,20.61,6,26.52,11,48.975,9,44.185,15,69.505,12,150.47,13,82.9,11,62.11,14,58.375,13,61.32,17,102.55,10,51.37,11,66.45,3,18.825,3,20.255,846,"3,001.54"
2285,1732,"5,630.37",19,97.425,22,90.235,14,73.79,14,67.98,22,183.82,15,78.085,28,132.52,25,105.169,15,71.38,17,70.025,21,118.03,26,159.22,27,125.89,33,265.74,27,202.145,30,179.987,27,144.59,21,134.5,16,93.615,2151,"8,024.51"
2286,237,799.49,1,6.24,0,0,1,4.4,3,11.96,6,29.02,3,12.6,5,21.51,2,8.04,4,21.74,7,39.38,3,14.49,0,0,2,11.88,14,77.095,9,50.8,11,49.315,3,13.06,2,11.55,0,0,313,"1,182.57"
2287,2013,"5,526.97",16,86.605,16,68.45,20,94.54,14,55.165,16,110.1,25,117.085,23,101.92,21,132.76,23,116.32,28,115.04,30,158.135,26,150.802,33,175.71,28,158.165,32,170.9,34,188.41,27,177.705,30,167.829,19,111.38,2474,"7,983.99"
2289,815,"2,138.78",8,24.38,6,22.66,4,16.9,4,18.04,9,32.985,10,63.115,10,30.22,11,50.88,5,44.445,8,34.56,11,43.85,7,36.8,8,46.072,12,72.97,10,56.385,8,49.17,10,47.015,4,25.75,10,50.11,970,"2,905.09"
2290,1627,"5,076.91",16,57.715,23,88.6,13,84.91,11,71.53,13,52.62,15,71.44,17,87.41,22,212.615,11,54.85,16,70.78,24,131.73,14,81.27,10,45.37,21,108.951,15,80.63,22,117.625,15,92.345,14,106.875,16,78.27,1935,"6,772.44"
2291,563,"1,579.62",5,15.38,2,5.76,7,35.47,3,10.165,3,9.24,4,16.655,7,42.69,6,34.8,4,15.41,8,44.765,8,46.4,6,21.035,11,45.15,10,79.822,12,78.695,5,24.77,7,32.654,0,0,4,32.69,675,"2,171.17"
2292,113,458.648,1,5.4,4,14.22,1,3.12,1,5.2,1,2.835,1,8,1,4.64,2,53.17,1,10.64,0,0,3,13.16,2,9.24,2,19.14,2,9.72,1,2.4,1,5.035,0,0,1,5.7,0,0,138,630.268
2293,88,342.78,1,15.12,1,2.52,1,3.24,0,0,3,27.94,1,2.97,1,3.78,1,4.8,1,3.24,1,19.98,1,8.1,2,94.605,0,0,2,9.06,0,0,1,3.6,0,0,2,5.78,0,0,107,547.515
2294,62,331.491,1,1.04,4,20.735,3,25.68,0,0,1,1.06,1,3.18,0,0,0,0,0,0,0,0,1,4,1,27.54,0,0,2,10.75,0,0,0,0,2,18.3,0,0,1,3.24,79,447.016
2295,309,775.418,6,29.98,6,21.155,2,6.05,5,22.39,4,19.83,5,26.54,4,14.985,11,48.63,4,11.31,12,46.26,8,31.42,10,33.8,5,17.73,7,33.205,7,27.48,3,9.19,4,22.58,5,26.76,8,42.785,425,"1,267.50"
2296,86,238.91,1,2.04,2,2.53,0,0,0,0,0,0,0,0,1,4.16,0,0,1,2.56,1,2.97,1,1.8,2,4.95,2,7.35,1,5.4,0,0,1,4.05,1,5.02,1,6.6,0,0,101,288.34
2297,102,245.607,1,5.035,2,3,0,0,1,3.06,0,0,0,0,0,0,1,3.48,0,0,0,0,2,5.76,1,4.32,0,0,3,10.905,1,5.02,1,4.05,1,3.05,0,0,2,11.09,118,304.377
2298,374,"1,097.18",2,6.3,1,1,1,1.04,3,5.56,1,5.8,3,6.22,4,19.68,1,3.24,4,12.8,3,13.64,3,14.14,2,10.78,1,6.48,2,10.49,7,33.36,5,21.53,4,16.79,1,6.46,1,5.13,423,"1,297.62"
2299,481,"1,447.92",3,10.34,2,6.83,10,37.83,2,4.98,3,14.24,2,8.36,5,28.96,5,18.23,3,7.86,4,20.6,8,45.715,10,45.39,4,19.5,5,36.91,5,31.54,5,31.84,5,22.58,4,21.24,2,7.725,568,"1,868.59"
2300,278,"1,246.66",3,5.45,3,8.74,2,6.78,5,40.665,2,9.69,1,25.2,2,8.07,4,18.38,3,21.06,1,1.77,2,9.48,2,9.3,4,71.92,2,11.61,1,5.225,4,32.02,4,19.36,0,0,0,0,323,"1,551.38"
2302,8,124.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32.67,0,0,12,187.38
2303,419,"1,185.41",6,32.81,3,16.23,6,23.4,2,12.19,4,13,4,40.69,2,10.33,4,15.96,2,5.94,8,34.67,2,9.625,2,13.08,6,26.43,3,14.08,2,11.28,1,4.35,4,15.6,4,18.6,4,25.57,488,"1,529.25"
2304,731,"2,696.60",10,39.36,7,22.9,9,29.61,4,38.96,6,20.22,5,23.03,8,54.605,10,82.16,8,58.93,7,47.825,10,41,19,155.165,14,52.85,7,61.48,5,57.62,6,44.235,8,37.435,8,52.075,4,34.64,886,"3,650.70"
2305,604,"1,574.59",8,27.2,9,26.44,8,30.48,7,30.55,9,39.158,5,26.27,5,17.14,5,16.21,6,22.98,9,41.88,4,17.22,11,57.257,4,13.98,9,56.815,7,37.215,1,5.67,6,33.745,4,21.28,3,19.445,724,"2,115.52"
2306,41,198.78,0,0,0,0,1,1.02,0,0,0,0,1,12.72,0,0,0,0,1,5.3,0,0,0,0,2,13.01,0,0,2,11.99,1,4.125,0,0,0,0,0,0,0,0,49,246.945
2307,191,499.903,1,2.565,0,0,1,1.02,1,2.97,3,16.98,0,0,3,9.27,2,7.11,0,0,3,13.74,2,6.6,1,5.36,4,22.75,4,18.15,1,5.4,0,0,1,5.94,1,6.6,0,0,219,624.358
2308,3,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23.96
2311,80,317.705,0,0,0,0,0,0,2,10.93,6,24.66,0,0,0,0,3,16.73,0,0,1,2.16,2,10.8,1,7.83,0,0,1,4.64,0,0,1,7.2,3,16.5,1,10.23,0,0,101,429.385
2312,139,440.909,0,0,1,1.02,0,0,0,0,1,4.265,3,13.98,3,35,0,0,3,16.78,4,18.395,3,10.49,1,54.4,2,10.91,3,16.75,3,28.76,0,0,1,5.28,1,8.25,0,0,168,665.189
2315,1029,"2,485.77",6,25.22,7,26.01,13,59.84,6,22.4,18,74.67,6,27.94,5,22.96,19,171.16,9,45.86,5,25.98,16,185.19,9,44.35,11,49.625,7,39.86,15,67.445,9,36.795,13,59.932,12,71.5,12,67.785,1227,"3,610.29"
2316,380,"1,149.24",4,15.81,3,11.89,7,21.77,5,18.12,3,13.47,2,13.6,9,47.2,5,26.105,13,57.88,7,38.1,9,48.78,5,20.3,5,24.79,7,33.38,1,5.4,6,30.69,8,39.82,21,107.785,6,19.98,506,"1,744.11"
2317,459,"1,582.00",2,6.55,3,12.92,3,19.69,4,15.06,5,24.8,1,2.16,6,26.53,8,88.56,10,40.32,9,48.23,18,86.85,6,38.11,5,23.125,7,27.18,10,56.58,3,16.53,3,20.97,4,30.96,6,34.96,572,"2,202.08"
2318,824,"2,727.92",16,74.71,14,60.72,13,72.085,14,68.81,13,64.24,7,25.98,16,83.4,15,104.34,12,69.55,14,61.32,21,150.701,15,84.73,16,74.29,27,167.645,24,159.94,16,80.305,17,126.98,15,104.08,13,100.74,1122,"4,462.48"
2319,504,"1,349.57",7,20.19,4,12.55,5,20.25,7,34.84,6,22.45,2,10.07,1,2.24,6,24.92,3,14.16,10,40.745,9,38.91,7,32.43,8,30.695,16,82.405,3,16.76,5,19.7,4,21.25,9,44.26,3,12.035,619,"1,850.43"
2320,1856,"7,516.97",13,61.735,23,142.885,27,194.59,22,117.09,25,203.5,23,202.43,36,406,27,179.89,37,222.515,37,286.005,37,202.853,40,297.675,32,184.801,53,338.855,50,330.325,38,237.19,50,312.76,40,242.71,24,196.47,2490,"11,877.25"
2321,933,"3,010.88",13,62.83,15,59.075,12,62.48,16,99.79,13,59.61,6,28.33,18,90.935,19,105.325,16,94.645,20,112.05,15,124.52,15,103.25,19,116.535,12,77.47,23,159.105,17,97.045,27,151.885,23,206.015,25,198.265,1257,"5,020.04"
2322,1289,"4,710.27",11,41.55,14,72.82,17,63.56,6,36.71,19,183.11,9,135.8,32,115.195,31,151.55,16,92.625,26,142.83,27,113.266,35,246.356,18,107.84,37,242.52,15,87.59,20,123.15,34,209.37,28,171.06,21,139.775,1705,"7,186.95"
2323,1470,"4,480.37",7,32.29,26,128.83,17,53.72,12,56.27,18,93.62,18,77.4,23,123.53,27,151.668,24,129.445,23,137.229,26,137.31,44,261.72,31,186.425,19,103.425,24,242.735,29,157.1,33,200.14,15,82.35,16,77.965,1902,"6,913.54"
2324,2015,"5,989.56",16,73.67,24,93.86,31,114.525,20,107.305,35,138.14,25,114.59,30,154.91,47,188.439,42,190.41,27,118.47,37,169.065,31,144.907,30,129.07,35,173.925,27,150.335,31,165.315,28,159.65,23,123.05,22,126.275,2576,"8,625.47"
2325,1615,"5,631.67",30,134.44,38,165.225,21,83.48,21,118.695,21,107.87,17,146.85,16,88.19,15,63.34,28,166.165,39,310.85,53,308.979,25,167.19,19,119.19,24,146.805,38,175.475,40,234.615,39,211.34,27,148.675,12,79.96,2138,"8,609.01"
2326,431,"1,385.19",12,43.575,6,24.06,8,35.285,8,37.04,5,20.64,4,20.03,8,35.698,8,29.47,10,47.99,19,114.9,15,89.995,10,80.405,11,72.26,8,46.655,14,87.2,13,77.46,14,74.24,11,62.33,9,58.425,624,"2,442.84"
2327,389,"1,188.81",6,29.22,8,22.77,4,10.24,6,21.365,3,8.37,5,19.64,7,32.6,6,26.19,12,68.73,22,131.325,10,51.87,2,11.16,6,42.3,9,51.39,10,55.23,1,5.18,17,93.35,4,15.59,1,6.6,528,"1,891.93"
2328,173,887.899,0,0,5,58.22,1,4.16,1,2.08,0,0,1,4.95,1,4.16,2,10.9,0,0,1,5.94,1,10.26,1,5.4,1,6.36,0,0,2,8.525,4,18.06,0,0,0,0,0,0,194,"1,026.91"
2329,142,673.4,2,10.24,7,55.745,0,0,1,6.24,2,16.96,1,5.76,5,43.616,3,24.15,0,0,6,38.66,2,11.77,1,4.68,0,0,1,2.6,4,24.33,1,11.16,3,20.55,4,28.545,1,3.3,186,981.706
2330,1265,"5,627.43",9,85.915,12,55.745,14,57.385,17,79.01,16,85.32,13,74.37,19,99.485,14,83.12,19,116.05,17,103.75,52,451.38,22,160.567,26,173.158,25,176.365,15,95.03,24,139.31,37,228.475,16,89.12,16,128.39,1648,"8,109.38"
2333,641,"2,877.65",5,17.88,8,58.56,9,97.3,3,16.3,6,35.75,4,15.78,10,71.37,16,67.14,7,38.79,11,65.95,8,46.46,5,34.04,5,39.31,8,42.735,6,38.67,11,79.44,7,34.33,14,87.34,7,46.385,791,"3,811.18"
2334,164,575.485,0,0,7,29.28,6,23.09,2,11.58,1,1.59,2,12.97,3,8.04,8,45.395,8,52.19,2,13.38,3,14.24,1,4.86,0,0,2,15.95,2,7.25,4,19.765,6,33.17,3,11.725,0,0,224,879.96
2335,403,"1,578.25",5,17.135,9,35.48,5,29.43,5,30.95,2,15.435,4,21.41,3,13.05,4,12.57,25,140.105,16,94.021,7,32.9,7,45.87,4,14.22,7,48.95,5,29.98,9,64.852,13,120.85,7,35.56,6,43.78,546,"2,424.80"
2336,156,642.824,3,13.6,2,8.1,3,11.24,5,78.27,2,8.97,6,73.56,5,121,6,30.8,4,29.19,0,0,4,16.42,6,29.3,4,16.9,3,13.43,5,28.339,2,12.43,3,16.1,3,16.87,0,0,222,"1,167.34"
2337,403,"1,955.66",8,52.34,3,14.77,7,41.05,6,41.29,2,22.135,5,26.3,6,33.81,8,65.54,16,99.005,18,124.19,6,31.228,12,96.97,3,50.33,10,51.85,15,147.05,14,105.755,9,79.4,17,109.13,4,31.97,572,"3,179.77"
2338,111,454.915,0,0,5,25,2,35.04,1,3.12,1,5.72,3,28.4,2,7.09,1,3.025,1,16.5,2,4.96,2,17.25,1,2.12,0,0,1,3.24,2,7.92,2,12.1,1,6.2,4,26.55,1,5.4,143,664.55
2339,59,272.115,1,3.57,0,0,2,5.56,0,0,1,2.08,0,0,0,0,4,6.94,1,5.5,0,0,0,0,0,0,0,0,1,9.9,0,0,2,13.95,0,0,4,16.2,0,0,75,335.815
2340,2802,"11,666.70",19,89.55,47,205.32,40,173.455,34,170.54,48,221.925,34,184.28,42,229.425,33,329.13,54,520.915,50,341.415,60,408.04,49,371.55,28,155.659,19,201.69,43,284.355,27,220.27,43,399.08,63,421.03,35,199.64,3570,"16,793.97"
2341,98,356.55,1,2.08,2,7.5,0,0,2,10.4,0,0,2,109.27,1,3.24,3,31.74,5,20.81,1,6.21,1,5.6,5,10.71,2,11.27,1,1.62,1,2.9,2,25.85,0,0,1,5.94,0,0,128,611.69
2342,32,165.101,0,0,0,0,1,5.98,1,2.04,1,0.26,2,6.36,0,0,0,0,2,8.64,1,5.22,0,0,0,0,0,0,2,32.4,0,0,1,11,0,0,0,0,0,0,43,237.001
2343,302,"1,285.51",3,41.48,10,56.11,9,65.45,10,44.2,5,22.12,2,8.17,7,39.55,3,14.66,5,12.14,5,31.9,7,48.345,3,22.125,3,7.57,5,23.23,4,24.67,1,4.86,1,3.85,11,75.405,1,5.4,397,"1,836.74"
2344,71,244.183,1,12,1,5.72,1,5.035,2,15.4,0,0,0,0,0,0,0,0,2,11.07,0,0,3,14.06,0,0,0,0,0,0,0,0,2,45,1,6.05,1,3.78,1,5.4,86,367.698
2345,62,229.36,1,9.6,3,38.66,1,7.2,1,6.3,2,62.83,0,0,0,0,1,2.56,0,0,1,4.16,1,5.13,0,0,0,0,0,0,0,0,1,2.9,2,5.13,1,10.8,2,13.2,79,397.83
2346,241,886.275,2,6.36,8,30.93,1,1.56,1,3.24,3,17.36,3,132.95,2,9.54,3,14.32,4,13.8,4,15.59,11,40.01,7,48.08,2,8.1,1,5.7,6,41.21,2,15.4,7,28.02,6,31.05,4,22.365,318,"1,371.86"
2347,146,560.58,0,0,3,17.775,1,1.56,1,6.48,2,16.23,6,15.57,0,0,5,50.76,1,3.24,0,0,0,0,0,0,0,0,1,4.4,1,6.05,0,0,0,0,5,22.43,1,6.6,173,711.675
2350,1527,"5,947.67",8,27.61,23,155.35,9,154.71,20,129.04,22,107.25,17,85.81,12,52,36,196.4,23,118.23,18,119.455,23,166.63,27,188.285,12,79.2,20,147.55,12,57.23,24,135.98,24,133.17,18,208.18,14,99.895,1889,"8,309.64"
2352,211,700.109,2,5.06,8,38.4,1,5.1,0,0,3,14.41,2,19.25,4,14.42,4,17.59,2,4.14,10,47.495,3,15.58,7,39.46,4,16.74,3,12.96,3,23.77,2,11.88,3,10.16,0,0,0,0,272,996.524
2353,122,372.494,2,7.5,3,11.715,5,17.96,1,2.08,3,15.6,0,0,0,0,3,15.59,0,0,2,9.45,2,12.15,4,33.61,1,11.5,0,0,1,5.4,0,0,0,0,1,5.04,1,3.3,151,523.389
2354,246,"1,034.87",3,10.68,4,12.48,3,12.92,1,9.6,2,11.48,2,13.38,2,107.32,2,26.46,3,20.27,4,22.095,4,16.1,4,26.76,4,18.15,2,6.6,5,21.07,1,2.16,4,21.42,1,10.08,5,20.07,302,"1,423.97"
2355,46,146.23,0,0,0,0,2,3.51,1,3.24,0,0,0,0,0,0,2,4.08,1,2.12,0,0,1,5.94,1,3.24,2,15,0,0,1,6.27,0,0,0,0,1,13.2,0,0,58,202.83
2356,16,86.068,0,0,0,0,0,0,0,0,1,5.5,0,0,0,0,0,0,0,0,1,5.5,0,0,0,0,1,4.4,0,0,0,0,0,0,0,0,2,6.05,0,0,21,107.518
2357,792,"2,483.26",7,25.5,3,12.8,6,26.02,6,34.7,4,16.64,12,54.105,7,41.44,2,12.25,3,8.97,5,33.17,8,47.065,14,99.54,2,9.815,6,49.04,8,45.87,3,28.6,0,0,5,27.775,3,15.4,896,"3,071.96"
2358,292,"1,110.64",3,10.4,5,35.88,1,4.16,2,11.44,2,6.595,7,56.885,4,12.58,3,11.05,2,12.455,5,16.89,2,9.56,5,28.5,8,62.4,7,42.75,3,20.31,1,5.5,7,47.945,2,9.9,2,9.8,363,"1,525.64"
2359,87,309.258,0,0,1,2.08,0,0,0,0,1,3.24,1,8.1,0,0,0,0,0,0,0,0,3,34.64,0,0,0,0,2,10.605,1,5.4,2,20.88,3,15.58,0,0,0,0,101,409.783
2360,1126,"4,885.31",16,58.95,15,70.76,23,154.96,16,85.03,11,70.255,10,41.475,28,156.35,18,87.25,6,36.77,23,267.425,17,121.035,11,62.285,6,51.12,13,66.925,25,141.175,34,188.88,20,110.61,18,127.165,4,20.035,1440,"6,803.77"
2361,117,492.435,1,5,1,5.2,4,13.26,1,5.4,0,0,4,24.29,1,2.16,0,0,1,3.6,2,10.25,0,0,1,15.125,1,5.22,0,0,2,16.775,0,0,4,23.45,0,0,1,1.68,141,623.845
2365,271,"1,143.37",4,12.13,2,9.24,3,9.095,4,23.91,2,8.49,3,32.18,9,64.97,6,69.56,1,5.8,7,35.595,5,47.85,4,52.05,6,37.955,6,23.37,7,32.845,6,33.4,3,108.84,9,97.625,3,16.86,361,"1,865.14"
2369,88,305.47,2,10.2,3,13.66,8,101.97,4,48.2,0,0,2,5.775,2,96.415,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,586.19
2370,595,"2,399.54",3,11.25,9,44.985,4,30.97,3,19.36,5,23.89,21,124.055,5,212.74,8,35.395,5,19.98,10,49.975,11,78.09,5,24.775,5,31.82,11,52.87,7,41.645,15,149.685,14,74.045,6,53,5,31.24,747,"3,509.31"
2371,163,714.958,1,2.34,0,0,1,8,1,5.2,1,2.34,2,7.2,1,2.61,1,5.13,1,6.66,1,3.3,0,0,0,0,0,0,0,0,1,3.3,2,9.705,0,0,2,12.375,0,0,178,783.118
2372,487,"1,594.89",2,4.53,6,25.225,3,10.24,0,0,5,19.655,16,67.26,5,17.68,3,11.43,9,41.78,6,28.4,8,33.545,9,35.64,8,51.8,6,26.96,11,56.655,5,19,12,64.71,7,58.765,8,47.08,616,"2,215.24"
2379,27,163.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.08,0,0,0,0,2,11.22,0,0,0,0,0,0,1,5.04,0,0,0,0,31,181.87
2380,668,"2,870.43",8,25.74,13,50.1,9,61.49,5,19.3,13,50.61,7,33.5,4,13.785,8,39.19,6,24.88,3,23.93,6,36.9,6,41.25,3,18.545,12,60.66,12,58.73,16,93.665,10,64.665,11,67.83,0,0,820,"3,655.20"
2381,120,495.395,5,17.56,2,12.05,2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,3,18.92,0,0,2,12.375,0,0,0,0,0,0,1,6.38,0,0,0,0,136,575.18
2382,94,397.56,0,0,1,3,3,7.46,0,0,2,36.16,7,57.89,3,23.015,3,19.82,0,0,1,6.36,1,2.65,0,0,2,10.45,2,12.6,1,6.48,2,11.55,2,19.14,1,6.555,1,6.6,126,627.29
2386,33,159.634,1,5.13,2,11.64,0,0,1,10.8,0,0,1,5.4,0,0,0,0,0,0,0,0,2,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,206.584
2387,14,53.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.05,0,0,0,0,0,0,16,70.09
2388,428,"1,472.72",4,13.64,2,6.5,3,10.08,5,34.33,2,6.42,4,46.465,0,0,2,11.7,5,29.02,3,10.14,1,99.2,0,0,0,0,1,5.4,2,7.62,6,22.8,10,34.475,30,88.175,2,12.1,510,"1,910.79"
2390,1615,"4,948.16",3,9.62,11,69.78,22,199.11,19,96.48,18,99.3,19,162.955,13,71.175,10,61.325,3,13.392,17,76.25,13,78.07,3,17.01,3,15.66,15,69.49,25,139.9,12,59.962,51,199.22,6,32.85,4,34,1882,"6,453.71"
2395,80,270.38,2,9.94,1,5.2,0,0,0,0,0,0,1,5.4,0,0,1,5.4,1,5.4,0,0,2,15.66,2,8.44,1,4.95,0,0,1,5.5,1,6.05,0,0,0,0,1,4.48,94,346.8
2396,196,490.172,2,7,0,0,1,5.2,2,4.5,0,0,3,9.87,6,23.3,2,39.16,5,10.695,1,2.65,0,0,2,7.51,0,0,0,0,0,0,1,6.05,0,0,2,6.6,0,0,223,612.707
2397,58,264.615,0,0,0,0,1,12.48,0,0,1,5.035,0,0,1,3.06,1,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,307.19
2398,26,127.13,0,0,0,0,0,0,1,3.24,0,0,0,0,0,0,0,0,0,0,1,10.8,1,9.18,1,5.5,0,0,0,0,1,5.22,0,0,0,0,2,7.11,1,8.1,34,176.28
2399,71,585.835,0,0,0,0,0,0,0,0,0,0,1,12.96,1,5.1,3,15.6,3,14.96,0,0,0,0,1,10.26,0,0,0,0,2,7.7,7,33.55,3,15.9,3,16.5,1,9.72,96,728.085
2400,1349,"5,315.77",6,23.45,18,88.78,15,77.97,20,117.85,7,93.96,15,94.21,12,93.79,15,125.465,12,63.31,17,114.77,19,142.67,26,97.77,28,103.785,57,161.15,76,252.725,20,209.315,31,156.995,15,166.245,8,84.73,1766,"7,584.71"
2401,24,104.495,1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,114.625
2402,176,729.19,3,8.08,0,0,0,0,4,12.78,4,113.86,5,22.24,7,32.44,6,23.645,4,19.14,6,31.42,5,58.135,4,89.54,2,9.28,5,35.295,2,11.6,7,40.505,5,41.55,2,7.7,2,8.4,249,"1,294.80"
2403,73,271.25,0,0,1,4.5,0,0,2,8.64,0,0,0,0,0,0,1,4.93,0,0,1,5.4,2,10.91,2,12.1,0,0,2,16.85,0,0,2,8.22,1,6.16,1,6.6,0,0,88,355.56
2404,163,633.548,0,0,2,11.445,0,0,3,14.94,7,22.57,6,27.71,10,142.93,2,9.32,1,6.16,2,26.76,4,36.255,3,17.105,1,3.6,2,11.48,1,2.32,1,4.86,2,36.9,1,7.56,0,0,211,"1,015.46"
2405,64,299.466,0,0,0,0,0,0,0,0,1,8.1,0,0,0,0,1,2.6,0,0,1,20.72,0,0,0,0,0,0,1,5.22,2,12.22,0,0,0,0,0,0,0,0,70,348.326
2406,115,466.875,0,0,1,3,0,0,4,15.3,2,30.34,1,7.02,1,5.04,3,21.78,0,0,2,8.4,0,0,0,0,0,0,0,0,0,0,1,5.22,0,0,21,61.875,0,0,151,624.85
2408,30,224.28,0,0,0,0,0,0,0,0,1,15.6,0,0,1,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,254.73
2409,35,211.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.74,1,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,217.84
2410,27,111,0,0,0,0,0,0,0,0,0,0,0,0,1,32.4,0,0,0,0,0,0,0,0,0,0,0,0,1,6.38,3,33.28,0,0,0,0,0,0,0,0,32,183.06
2411,17,106.038,0,0,0,0,0,0,1,5.5,0,0,0,0,0,0,5,40.89,0,0,0,0,1,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,155.308
2415,56,262.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.93,0,0,0,0,0,0,1,10.8,0,0,2,9.42,1,4.4,1,2.2,1,10.45,0,0,1,4.05,65,319.52
2420,303,"1,093.91",3,13.32,5,16.78,2,8.08,4,22.85,2,11.86,2,7.78,6,35.855,5,33.2,4,26.17,8,40.625,1,5.4,2,10.34,1,20.88,2,9.98,4,22.33,0,0,9,62.28,8,36.14,4,46.34,375,"1,524.12"
2421,170,769.985,2,16.27,2,9.45,1,5.13,0,0,0,0,1,4.08,2,8.25,1,4.16,4,23.37,2,8.95,4,32.69,4,34.385,1,4.95,2,27,5,25.48,3,14.875,3,16.39,2,9.83,0,0,209,"1,015.25"
2422,576,"2,039.70",3,6.24,3,14.14,9,34.94,3,8.17,5,12.12,4,29.065,6,28,7,24.88,8,37.05,6,55.82,8,65.65,9,165.62,3,14.04,11,62.37,15,64.835,11,58.545,9,57.42,6,36.28,2,10.96,704,"2,825.84"
2423,372,"1,235.73",0,0,1,5.8,5,9.33,1,3.12,3,133.38,5,32.19,3,17.68,5,29.92,4,24.84,4,22.33,8,46.73,4,21.9,1,5.2,9,66.695,1,6.05,4,27.18,4,41.65,4,27.43,1,4.02,439,"1,761.18"
2424,48,145.25,0,0,0,0,2,10.05,0,0,1,8.16,0,0,1,5.3,0,0,2,16.17,1,5.13,1,4.95,0,0,0,0,0,0,0,0,0,0,2,7.3,0,0,0,0,58,202.31
2425,191,698.84,1,5.24,2,5.22,3,22.145,3,12.78,3,37,0,0,1,0.84,3,12.7,2,83.08,3,17.16,4,70.66,6,24.665,1,7.92,5,52.4,5,44.39,4,36.43,0,0,3,16.02,3,25.22,243,"1,172.71"
2426,65,235.129,0,0,1,6.96,0,0,2,10.7,1,3.2,0,0,1,5.67,0,0,0,0,0,0,2,16.86,0,0,2,7.3,0,0,1,6.05,3,15.54,1,3.24,1,6.6,0,0,80,317.249
