Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2034,217,635.684,1,4.68,1,5.4,4,3.465,3,15.68,1,5.035,5,20.06,0,0,2,16.96,2,5.529,4,23.63,3,27.21,1,2.2,3,13.135,8,38.528,9,68.195,11,59.241,6,44.749,3,12.535,0,0,284,"1,001.92"
2035,593,"1,683.37",5,23.11,6,25.76,4,21.46,2,8.42,5,17.395,4,22.33,6,38.64,3,12.715,3,21.96,3,16.47,9,50.84,7,34.04,7,51.777,19,138.44,13,66.84,6,26.955,7,56.47,4,21.28,5,28.46,711,"2,366.73"
2036,615,"1,901.11",2,10.34,5,24.84,5,29.385,5,46.65,8,46.29,2,9.65,2,55.08,6,30.716,1,12.375,4,21.69,6,40.125,6,30.472,8,49.16,9,45.35,17,99.155,17,147.932,10,117.79,5,29.332,2,8.625,735,"2,756.07"
2037,155,518.8,0,0,3,14.78,1,3.2,1,2.16,5,21.526,1,3.78,2,7.8,4,14.88,2,14.38,1,5.28,2,13.122,5,30.582,1,3.78,3,10.65,2,12.41,3,5.16,2,13.63,2,26.24,1,5.13,196,727.29
2038,179,452.19,0,0,2,10.88,1,5.12,3,5.34,1,2.34,2,10.53,0,0,3,11.03,3,21,3,16.07,2,8.97,3,13.525,1,5.4,5,21.285,6,59.005,1,4.425,3,11.34,0,0,4,18.24,222,676.69
2039,134,440.996,0,0,1,3.92,0,0,2,8.7,0,0,2,7.18,0,0,2,14.13,5,25.95,2,7.42,5,18.38,1,3.48,0,0,3,8.92,2,8.232,5,21.8,1,5.04,1,5.7,3,13.564,169,593.412
2040,457,"1,483.80",1,3.12,6,21.13,1,5.13,3,10.86,9,44.13,0,0,3,11.8,5,38.85,2,7.8,3,27.2,8,35.99,9,26.057,3,8.805,8,40.044,6,26.78,2,7.83,12,57.156,3,12.53,1,5.58,542,"1,874.59"
2041,257,709.523,3,11.175,2,10.938,0,0,2,7.44,4,19.675,0,0,4,25.364,5,17.66,5,20.373,2,8.675,1,3.35,1,5.76,2,10.48,5,22.83,3,14.4,4,11.403,3,5.51,0,0,1,3.35,304,907.906
2042,296,987.631,4,10.44,8,22.02,3,13.567,2,9.02,5,22.392,1,5.72,2,9.96,5,22.306,3,12.3,2,6.875,1,4.13,3,72.36,2,8.88,6,26.255,4,16.675,6,25.395,7,35.215,3,13.565,1,3.65,364,"1,328.36"
2043,76,174.554,0,0,0,0,0,0,1,5.3,1,2,0,0,1,2.95,0,0,0,0,0,0,1,5.13,1,16.24,0,0,1,2.95,1,2.24,4,15.485,0,0,0,0,0,0,87,226.849
