POA_CODE_2016,irradiation
POA2350,4.8374999999999995
POA2352,4.9
POA2353,4.9
POA2354,4.890000000000001
POA2355,4.9
POA2356,4.9
POA2357,4.9
POA2358,4.88
POA2359,4.743333333333333
POA2360,4.909999999999998
POA2361,5.05
POA2365,4.928571428571428
POA2369,5.05
POA2370,4.796666666666666
POA2371,5.05
POA2372,4.854285714285714
POA2379,5.0
POA2380,5.0
POA2381,4.975
POA2382,5.0
POA2386,5.05
POA2387,5.23
POA2388,5.05
POA2390,5.05
POA2395,4.9
POA2396,4.9
POA2397,5.05
POA2398,5.23
POA2399,5.23
POA2400,5.23
POA2401,5.23
POA2402,5.05
POA2403,5.05
POA2404,5.05
POA2405,5.23
POA2408,5.23
POA2411,5.23
POA2415,4.44
POA2420,4.44
POA2421,4.49
POA2422,4.549999999999999
POA2423,4.539999999999999
POA2424,4.508000000000001
POA2425,4.250000000000001
POA2426,4.55
POA2427,4.55
POA2428,4.548571428571429
POA2429,4.523749999999999
POA2430,4.535999999999999
POA2431,4.515000000000001
POA2439,4.365
POA2440,4.458636363636364
POA2441,4.464
POA2443,4.340000000000001
POA2444,4.348000000000001
POA2445,4.34
POA2446,4.347142857142858
POA2447,4.533333333333334
POA2448,4.53
POA2449,4.27
POA2450,4.82
POA2452,4.82
POA2453,4.695714285714287
POA2454,4.571428571428571
POA2456,4.82
POA2460,3.5759090909090916
POA2462,3.49
POA2463,3.49
POA2464,3.49
POA2465,3.49
POA2466,3.49
POA2469,4.15
POA2470,4.226666666666667
POA2471,3.806666666666667
POA2472,3.6775
POA2473,3.49
POA2474,4.560833333333332
POA2475,4.81
POA2476,4.81
POA2477,4.509999999999999
POA2478,4.509999999999999
POA2479,4.51
POA2480,4.510000000000002
POA2481,4.51
POA2482,4.51
POA2483,4.509999999999999
POA2484,4.5063157894736845
POA2485,4.505
POA2486,4.51
POA2487,4.509999999999999
POA2488,4.51
POA2489,4.51
POA2490,4.51
POA2500,4.3533333333333335
POA2502,4.29
POA2505,4.29
POA2506,4.29
POA2508,4.36
POA2515,4.36
POA2516,4.36
POA2517,4.36
POA2518,4.36
POA2519,4.36
POA2520,4.36
POA2525,4.36
POA2526,4.3275
POA2527,4.283333333333334
POA2528,4.29
POA2529,4.29
POA2530,4.29
POA2533,4.29
POA2534,4.282857142857142
POA2535,4.27875
POA2536,4.285999999999998
POA2537,4.269999999999998
POA2538,4.27
POA2539,4.2879999999999985
POA2540,4.290000000000001
POA2541,4.29
POA2545,4.27
POA2546,4.251538461538461
POA2548,4.24
POA2549,4.24
POA2550,4.2555999999999985
POA2551,4.0525
POA2555,4.36
POA2556,4.36
POA2557,4.36
POA2558,4.36
POA2559,4.36
POA2560,4.36
POA2563,4.36
POA2564,4.465
POA2565,4.36
POA2566,4.36
POA2567,4.36
POA2568,4.36
POA2569,4.36
POA2570,4.36
POA2571,4.36
POA2572,4.36
POA2573,4.36
POA2574,4.36
POA2575,4.295555555555556
POA2576,4.29
POA2577,4.386666666666667
POA2578,4.29
POA2579,4.446
POA2580,4.518888888888887
POA2581,4.726
POA2582,4.663333333333333
POA2583,4.569999999999999
POA2584,4.63
POA2585,4.63
POA2586,4.63
POA2587,4.63
POA2588,4.63
POA2590,4.803333333333334
POA2594,4.63
POA2600,4.827
POA2601,4.83
POA2602,4.829999999999999
POA2603,4.83
POA2604,4.83
POA2605,4.83
POA2606,4.83
POA2607,4.83
POA2609,4.83
POA2611,4.813333333333333
POA2612,4.83
POA2614,4.829999999999999
POA2615,4.829999999999999
POA2616,4.83
POA2617,4.829999999999999
POA2618,4.83
POA2619,4.83
POA2620,4.768571428571428
POA2621,4.83
POA2622,4.388999999999999
POA2623,4.4
POA2624,4.24
POA2625,4.24
POA2626,4.83
POA2627,4.24
POA2628,4.326666666666667
POA2629,4.635
POA2630,4.3180000000000005
POA2631,4.24
POA2632,4.335
POA2633,4.24
POA2640,4.343749999999999
POA2641,4.33
POA2642,4.482222222222222
POA2643,4.68
POA2644,4.33
POA2645,4.68
POA2646,4.68
POA2647,4.68
POA2648,5.16
POA2649,4.44
POA2650,4.79
POA2651,4.845
POA2652,4.8020000000000005
POA2653,4.535000000000001
POA2655,4.89
POA2656,4.819999999999999
POA2658,4.516666666666667
POA2659,4.33
POA2660,4.33
POA2661,4.89
POA2663,4.89
POA2665,4.7700000000000005
POA2666,4.673333333333333
POA2668,4.63
POA2669,4.75
POA2671,4.6850000000000005
POA2675,4.75
POA2678,
POA2680,4.75
POA2681,4.75
POA2700,4.75
POA2701,4.89
POA2702,4.89
POA2703,4.75
POA2705,4.75
POA2706,4.7
POA2707,4.75
POA2710,4.7
POA2711,4.75
POA2712,4.68
POA2713,4.7
POA2714,4.7
POA2715,4.68
POA2716,4.725
POA2717,5.16
POA2720,4.580000000000001
POA2721,4.63
POA2722,4.487500000000001
POA2725,4.63
POA2726,4.63
POA2727,4.63
POA2729,4.44
POA2730,4.66
POA2731,4.7
POA2732,4.68
POA2733,4.68
POA2734,4.68
POA2735,4.68
POA2736,4.68
POA2737,5.16
POA2738,5.16
POA2739,5.16
POA2745,4.36
POA2747,4.35
POA2748,4.36
POA2749,4.36
POA2750,4.36
POA2751,4.36
POA2752,4.36
POA2753,4.432857142857143
POA2754,4.36
POA2755,4.36
POA2756,4.37125
POA2757,4.36
POA2758,4.36
POA2759,4.495
POA2760,4.36
POA2761,4.36
POA2762,4.36
POA2763,4.36
POA2765,4.36
POA2766,4.36
POA2767,4.36
POA2768,4.34
POA2769,4.36
POA2770,4.36
POA2773,4.36
POA2774,4.36
POA2775,4.54
POA2776,4.36
POA2777,4.36
POA2778,4.36
POA2779,4.36
POA2780,4.36
POA2782,4.36
POA2783,4.36
POA2784,4.36
POA2785,4.36
POA2786,4.36
POA2787,4.462727272727272
POA2790,4.38
POA2791,4.62
POA2792,4.62
POA2793,4.445
POA2794,4.63
POA2795,4.603783783783785
POA2797,4.75
POA2798,4.62
POA2799,4.666666666666667
POA2800,4.566363636363636
POA2801,5.77
POA2803,4.63
POA2804,4.62
POA2805,4.74
POA2806,4.74
POA2807,4.63
POA2809,4.63
POA2810,4.63
POA2811,5.77
POA2814,5.77
POA2820,4.911333333333332
POA2821,5.32
POA2823,4.87
POA2824,4.9350000000000005
POA2827,4.88
POA2828,4.9
POA2829,4.9
POA2830,4.74875
POA2831,5.034285714285714
POA2834,5.23
POA2835,5.366666666666667
POA2836,5.24
POA2840,5.24
POA2842,4.9
POA2843,4.9
POA2844,4.8
POA2845,4.36
POA2846,4.625
POA2847,4.62
POA2848,4.63
POA2849,4.566666666666666
POA2850,4.681499999999999
POA2851,6.04
POA2852,4.8
POA2861,6.02
POA2864,4.605
POA2865,4.62
POA2866,4.62
POA2867,4.74
POA2868,4.655
POA2869,4.783333333333333
POA2870,4.740000000000001
POA2871,5.024000000000001
POA2874,4.74
POA2875,4.74
POA2876,4.74
POA2877,4.74
POA2879,5.13
POA2880,5.12
POA2881,5.47
POA2898,5.0
POA2899,3.4
POA2900,4.83
POA2903,4.83
POA2904,4.83
POA2905,4.829999999999999
POA2906,4.83
POA2911,4.83
POA2912,4.83
POA2913,4.83
POA2914,4.83
POA3000,4.12
POA3001,4.12
POA3002,4.12
POA3003,4.12
POA3004,4.12
POA3006,4.12
POA3008,4.12
POA3011,4.12
POA3012,4.12
POA3013,4.12
POA3015,4.113333333333333
POA3018,3.98
POA3019,4.02
POA3020,3.98
POA3021,3.98
POA3022,3.98
POA3023,3.96
POA3024,3.98
POA3025,3.98
POA3026,3.98
POA3027,4.3
POA3028,3.98
POA3029,3.953333333333333
POA3030,3.98
POA3031,4.12
POA3032,4.12
POA3033,3.98
POA3034,4.1
POA3036,3.98
POA3037,3.98
POA3038,3.98
POA3039,4.12
POA3040,4.12
POA3041,4.12
POA3042,3.98
POA3043,3.98
POA3044,4.12
POA3045,
POA3046,3.98
POA3047,3.98
POA3048,3.98
POA3049,3.98
POA3050,
POA3051,4.12
POA3052,4.12
POA3053,4.12
POA3054,4.12
POA3055,4.12
POA3056,4.12
POA3057,4.12
POA3058,4.12
POA3059,3.98
POA3060,3.98
POA3061,3.98
POA3062,3.98
POA3063,
POA3064,3.98
POA3065,4.12
POA3066,4.12
POA3067,4.12
POA3068,4.12
POA3070,4.12
POA3071,4.12
POA3072,4.1025
POA3073,4.12
POA3074,4.12
POA3075,3.98
POA3076,3.98
POA3078,4.12
POA3079,4.12
POA3081,4.12
POA3082,4.12
POA3083,4.12
POA3084,4.12
POA3085,4.12
POA3087,4.12
POA3088,4.12
POA3089,4.12
POA3090,4.12
POA3091,4.12
POA3093,4.12
POA3094,4.12
POA3095,4.12
POA3096,4.12
POA3097,4.12
POA3099,4.12
POA3101,4.12
POA3102,4.12
POA3103,4.12
POA3104,4.12
POA3105,4.12
POA3106,4.12
POA3107,
POA3108,4.12
POA3109,4.12
POA3111,4.12
POA3113,4.109999999999999
POA3114,4.12
POA3115,4.12
POA3116,3.92
POA3121,4.12
POA3122,4.12
POA3123,4.12
POA3124,4.109999999999999
POA3125,4.12
POA3126,4.12
POA3127,4.12
POA3128,4.195
POA3129,4.12
POA3130,4.12
POA3131,3.9133333333333336
POA3132,4.105
POA3133,3.92
POA3134,4.015
POA3135,3.92
POA3136,3.92
POA3137,3.92
POA3138,3.92
POA3139,3.9200000000000004
POA3140,3.92
POA3141,4.12
POA3142,4.12
POA3143,4.12
POA3144,4.12
POA3145,4.07
POA3146,4.12
POA3147,4.02
POA3148,3.92
POA3149,4.02
POA3150,3.92
POA3151,4.02
POA3152,3.98
POA3153,3.92
POA3154,3.92
POA3155,3.92
POA3156,3.92
POA3158,3.92
POA3159,3.92
POA3160,3.92
POA3161,4.12
POA3162,4.113333333333333
POA3163,3.986666666666667
POA3164,4.29
POA3165,3.92
POA3166,3.92
POA3167,3.92
POA3168,3.92
POA3169,3.92
POA3170,3.92
POA3171,3.92
POA3172,3.91
POA3173,3.92
POA3174,3.91
POA3175,4.166666666666667
POA3177,3.92
POA3178,3.92
POA3179,3.92
POA3180,3.92
POA3181,4.12
POA3182,4.12
POA3183,4.12
POA3184,4.12
POA3185,4.12
POA3186,4.02
POA3187,4.02
POA3188,3.92
POA3189,4.173333333333333
POA3190,3.92
POA3191,3.92
POA3192,3.92
POA3193,3.95
POA3194,3.92
POA3195,4.215999999999999
POA3196,4.29
POA3197,4.29
POA3198,4.29
POA3199,4.205
POA3200,4.3100000000000005
POA3201,4.29
POA3202,3.92
POA3204,3.92
POA3205,4.12
POA3206,4.12
POA3207,4.12
POA3211,3.98
POA3212,4.15
POA3214,4.15
POA3215,4.15
POA3216,4.14375
POA3217,
POA3218,4.133333333333334
POA3219,4.15
